Station Name,Month,Day ,Year,Mean Temperature (Celsius),Maximum Temperature (Celsius),Minimum Temperature (Celsius),Vapor Pressure (kPa) ,Average Relative Humidity (Fraction),Maximum Relative Humidity (Fraction),Minimum Relative Humidity (Fraction),Solar Radiation (MJ/m2) ,Average Wind Speed (m/s),Precipitation (millimeters)
Cokeville,6,28,2015,21.66666667,33.5,6.594444444,1.078872692,0.4951,-999,-999,30.41959316,1.399231722,0
Cokeville,6,29,2015,23.44444444,33.94444444,11.28888889,1.143758813,0.4461,-999,-999,27.81163723,1.484169111,0
Cokeville,6,30,2015,23.32777778,33.27777778,13.52222222,1.281534559,0.4958,-999,-999,27.95733777,2.333543,0
Cokeville,7,1,2015,22.44444444,31.94444444,12.06666667,1.232541564,0.5219,-999,-999,29.87321613,1.926737611,0
Cokeville,7,2,2015,21.03888889,32.33333333,8.816666667,1.049850464,0.4995,-999,-999,29.28957661,1.698747778,0
Cokeville,7,3,2015,20.67222222,32.33333333,7.094444444,1.052242449,0.4986,-999,-999,28.33582423,1.770274,0
Cokeville,7,4,2015,22.14444444,32.38888889,10.06666667,1.095299378,0.4906,-999,-999,28.20519616,1.721099722,0
Cokeville,7,5,2015,16.87222222,22.78333333,12.66111111,1.430551404,0.7585,-999,-999,13.19887792,1.144419556,13.208
Cokeville,7,6,2015,17.31666667,26.40555556,11.15,1.373039968,0.7269,-999,-999,22.42783481,1.980382278,0.762
Cokeville,7,7,2015,15.77222222,24.20555556,8.55,1.273016142,0.7339,-999,-999,21.04284233,1.5691065,0.508
Cokeville,7,8,2015,15.36111111,20.70555556,9.255555556,1.250078771,0.734,-999,-999,14.35987676,1.546754556,0.254
Cokeville,7,9,2015,16.58333333,24.21111111,10,1.156272871,0.6487,-999,-999,22.24947726,1.533343389,0
Cokeville,7,10,2015,15.04444444,22.09444444,8.338888889,1.1317895,0.6835,-999,-999,16.55794525,2.154727444,0
Cokeville,7,11,2015,15.83888889,26.51111111,4.566666667,0.883879715,0.5781,-999,-999,25.58593588,2.069790056,0.762
Cokeville,7,12,2015,17.13333333,27.94444444,5.438888889,0.874681788,0.5288,-999,-999,29.26361847,1.855211389,0
Cokeville,7,13,2015,16.73333333,28.38888889,4.1,0.798435504,0.501,-999,-999,26.08249002,1.828389056,0
Cokeville,7,14,2015,18.36666667,29.5,6.388888889,0.884906952,0.5096,-999,-999,29.59018865,1.859681778,0
Cokeville,7,15,2015,17.45,25.90555556,8.983333333,1.039935314,0.5457,-999,-999,22.8469332,2.659881389,0.254
Cokeville,7,16,2015,16.42222222,27.83333333,4.844444444,0.970947367,0.5914,-999,-999,25.25559759,1.747922056,0
Cokeville,7,17,2015,14.93888889,22.06111111,10.37222222,1.104011191,0.6767,-999,-999,11.71298362,2.467654667,2.54
Cokeville,7,18,2015,13.61666667,22.25,7.966666667,1.088702475,0.7247,-999,-999,14.18821808,1.823918667,0.508
Cokeville,7,19,2015,14.28888889,24.34444444,2.505555556,0.887994982,0.6237,-999,-999,30.1566623,1.636162333,0
Cokeville,7,20,2015,11.16111111,20.36666667,4.261111111,0.995759831,0.7721,-999,-999,11.59282255,1.144419556,0.508
Cokeville,7,21,2015,14.88888889,26.72222222,2.2,0.978408124,0.6469,-999,-999,27.6780784,1.662984667,0
